Hiragana,Romaji,Section,Audio.mp3,Flashcards F,Flashcards B
あ,a,a - ko,1_A.mp3,1_a Hiragana_1Front,1_a Hiragana_Back
い,i,a - ko,2_I.mp3,2_i Hiragana_1Front,2_i Hiragana_Back
う,u,a - ko,3_U.mp3,3_u Hiragana_1Front,3_u Hiragana_Back
え,e,a - ko,4_E.mp3,4_e Hiragana_1Front,4_e Hiragana_Back
お,o,a - ko,5_O.mp3,5_o Hiragana_1Front,5_o Hiragana_Back
か,ka,a - ko,6_KA.mp3,6_ka Hiragana_1Front,6_ka Hiragana_Back
き,ki,a - ko,7_KI.mp3,7_ki Hiragana_1Front,7_ki Hiragana_Back
く,ku,a - ko,8_KU.mp3,8_ku Hiragana_1Front,8_ku Hiragana_Back
け,ke,a - ko,9_KE.mp3,9_ke Hiragana_1Front,9_ke Hiragana_Back
こ,ko,a - ko,10_KO.mp3,10_ko Hiragana_1Front,10_ko Hiragana_Back
さ,sa,sa - to,11_SA.mp3,11_sa Hiragana_1Front,11_sa Hiragana_Back
し,shi,sa - to,12_SHI.mp3,12_shi Hiragana_1Front,12_shi Hiragana_Back
す,su,sa - to,13.SU.mp3,13_su Hiragana_1Front,13_su Hiragana_Back
せ,se,sa - to,14.SE.mp3,14_se Hiragana_1Front,14_se Hiragana_Back
そ,so,sa - to,15_SO.mp3,15_so Hiragana_1Front,15_so Hiragana_Back
た,ta,sa - to,16_TA.mp3,16_ta Hiragana_1Front,16_ta Hiragana_Back
ち,chi,sa - to,17_CHI.mp3,17_chi Hiragana_1Front,17_chi Hiragana_Back
つ,tsu,sa - to,18_TSU.mp3,18_tsu Hiragana_1Front,18_tsu Hiragana_Back
て,te,sa - to,19_TE.mp3,19_te Hiragana_1Front,19_te Hiragana_Back
と,to,sa - to,20_TO.mp3,20_to Hiragana_1Front,20_to Hiragana_Back
な,na,na - ho,21_NA.mp3,21_na Hiragana_1Front,21_na Hiragana_Back
に,ni,na - ho,22_NI.mp3,22_ni Hiragana_1Front,22_ni Hiragana_Back
ぬ,nu,na - ho,23_NU.mp3,23_nu Hiragana_1Front,23_nu Hiragana_Back
ね,ne,na - ho,24_NE.mp3,24_ne Hiragana_1Front,24_ne Hiragana_Back
の,no,na - ho,25_NO.mp3,25_no Hiragana_1Front,25_no Hiragana_Back
は,ha,na - ho,26_HA.mp3,26_ha Hiragana_1Front,26_ha Hiragana_Back
ひ,hi,na - ho,27_HI.mp3,27_hi Hiragana_1Front,27_hi Hiragana_Back
ふ,fu,na - ho,28_FU.mp3,28_fu Hiragana_1Front,28_fu Hiragana_Back
へ,he,na - ho,29_HE.mp3,29_he Hiragana_1Front,29_he Hiragana_Back
ほ,ho,na - ho,30_HO.mp3,30_ho Hiragana_1Front,30_ho Hiragana_Back
ま,ma,ma - n,31_MA.mp3,31_ma Hiragana_1Front,31_ma Hiragana_Back
み,mi,ma - n,32_Mi.mp3,32_mi Hiragana_1Front,32_mi Hiragana_Back
む,mu,ma - n,33_MU.mp3,33_mu Hiragana_1Front,33_mu Hiragana_Back
め,me,ma - n,34_ME.mp3,34_me Hiragana_1Front,34_me Hiragana_Back
も,mo,ma - n,35_MO.mp3,35_mo Hiragana_1Front,35_mo Hiragana_Back
や,ya,ma - n,36_YA.mp3,36_ya Hiragana_1Front,36_ya Hiragana_Back
ゆ,yu,ma - n,37_YU.mp3,37_yu Hiragana_1Front,37_yu Hiragana_Back
よ,yo,ma - n,38_YO.mp3,38_yo Hiragana_1Front,38_yo Hiragana_Back
ら,ra,ma - n,39_RA.mp3,39_ra Hiragana_1Front,39_ra Hiragana_Back
り,ri,ma - n,40_RI.mp3,40_ri Hiragana_1Front,40_ri Hiragana_Back
る,ru,ma - n,41_RU.mp3,41_ru Hiragana_1Front,41_ru Hiragana_Back
れ,re,ma - n,42_RE.mp3,42_re Hiragana_1Front,42_re Hiragana_Back
ろ,ro,ma - n,43_RO.mp3,43_ro Hiragana_1Front,43_ro Hiragana_Back
わ,wa,ma - n,44_WA.mp3,44_wa Hiragana_1Front,44_wa Hiragana_Back
を,o/wo,ma - n,45_O_WO.mp3,45_o wo Hiragana_1Front,45_o wo Hiragana_Back
ん,n,ma - n,46_N.mp3,46_n Hiragana_1Front,46_n Hiragana_Back
